snr_db,no_isi,turbo_cs_nu2,turbo_ung_M4,turbo_cs_nu3,turbo_prlja_M4,turbo_ung_M8,turbo_prlja_M8
2.0,0.017111111,0.025583333,0.045833333,0.0195,0.37166667,0.0435,0.36983333
2.5,0.0079333333,0.012777778,0.0185,0.008875,0.37633333,0.017833333,0.36066667
3.0,0.0036666667,0.0061944444,0.0054761905,0.0046041667,0.354,0.0053571429,0.35066667
3.5,0.0015833333,0.0025595238,0.0023,0.002,0.342,0.0024166667,0.339
4.0,0.00061212121,0.001020202,0.00074814815,0.00069,0.338,0.00074814815,0.31983333
4.5,0.00018833333,0.00044444444,0.00030166667,0.00020333333,0.32666667,0.00030166667,0.3045
5.0,5.5e-05,0.00015,9.3333333e-05,7.6666667e-05,0.29466667,9.3333333e-05,0.2995
5.5,2e-05,5.1666667e-05,3.6666667e-05,2.5e-05,0.28466667,3.6666667e-05,0.2785
6.0,1.1666667e-05,2e-05,5e-06,5e-06,0.285,5e-06,0.25916667
